id,movie_title,duration,genres,title_year,imdb_score
43,Toy Story 3 ,103,Adventure,2010,8.3
44,Terminator Salvation ,118,Action,2009,6.6
45,Furious 7 ,140,Action,2015,7.2
46,World War Z ,123,Action,2013,7
47,X-Men: Days of Future Past ,149,Action,2014,8
48,Star Trek Into Darkness ,132,Action,2013,7.8
49,Jack the Giant Slayer ,114,Adventure,2013,6.3
50,The Great Gatsby ,143,Drama,2013,7.3
51,Prince of Persia: The Sands of Time ,116,Action,2010,6.6
52,Pacific Rim ,131,Action,2013,7
53,Transformers: Dark of the Moon ,154,Action,2011,6.3
54,Indiana Jones and the Kingdom of the Crystal Skull ,122,Action,2008,6.2
55,The Good Dinosaur ,93,Adventure,2015,6.8
56,Brave ,93,Adventure,2012,7.2
57,Star Trek Beyond ,122,Action,2016,7.5
58,WALL·E ,98,Adventure,2008,8.4
59,Rush Hour 3 ,91,Action,2007,6.2
60,2012 ,158,Action,2009,5.8
61,A Christmas Carol ,96,Animation,2009,6.8
62,Jupiter Ascending ,127,Action,2015,5.4
63,The Legend of Tarzan ,110,Action,2016,6.6
64,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",150,Adventure,2005,6.9
65,X-Men: Apocalypse ,144,Action,2016,7.3
66,The Dark Knight ,152,Action,2008,9
67,Up ,96,Adventure,2009,8.3
68,Monsters vs. Aliens ,94,Action,2009,6.5
69,Iron Man ,126,Action,2008,7.9
70,Hugo ,126,Adventure,2011,7.5
71,Wild Wild West ,106,Action,1999,4.8
72,The Mummy: Tomb of the Dragon Emperor ,112,Action,2008,5.2
73,Suicide Squad ,123,Action,2016,6.9
74,Evan Almighty ,96,Comedy,2007,5.4
75,Edge of Tomorrow ,113,Action,2014,7.9
76,Waterworld ,176,Action,1995,6.1
77,G.I. Joe: The Rise of Cobra ,118,Action,2009,5.8
78,Inside Out ,95,Adventure,2015,8.3
79,The Jungle Book ,106,Adventure,2016,7.8
80,Iron Man 2 ,124,Action,2010,7
81,Snow White and the Huntsman ,132,Action,2012,6.1
82,Maleficent ,97,Action,2014,7
83,Dawn of the Planet of the Apes ,130,Action,2014,7.6
84,The Lovers ,109,Action,2015,4.5
85,47 Ronin ,128,Action,2013,6.3
86,Captain America: The Winter Soldier ,136,Action,2014,7.8
87,Shrek Forever After ,93,Adventure,2010,6.4
88,Tomorrowland ,130,Action,2015,6.5
89,Big Hero 6 ,102,Action,2014,7.9
90,Wreck-It Ralph ,101,Adventure,2012,7.8
91,The Polar Express ,100,Adventure,2004,6.6
92,Independence Day: Resurgence ,120,Action,2016,5.5
93,How to Train Your Dragon ,98,Adventure,2010,8.2
94,Terminator 3: Rise of the Machines ,109,Action,2003,6.4
95,Guardians of the Galaxy ,121,Action,2014,8.1
96,Interstellar ,169,Adventure,2014,8.6
97,Inception ,148,Action,2010,8.8
98,Godzilla Resurgence ,120,Action,2016,8.2
99,The Hobbit: An Unexpected Journey ,182,Adventure,2012,7.9
100,The Fast and the Furious ,106,Action,2001,6.7
101,The Curious Case of Benjamin Button ,166,Drama,2008,7.8
102,X-Men: First Class ,132,Action,2011,7.8
103,The Hunger Games: Mockingjay - Part 2 ,137,Adventure,2015,6.6
104,The Sorcerer's Apprentice ,109,Action,2010,6.1
105,Poseidon ,98,Action,2006,5.6
106,Alice Through the Looking Glass ,113,Adventure,2016,6.4
107,Shrek the Third ,93,Adventure,2007,6.1
108,Warcraft ,123,Action,2016,7.3
109,Terminator Genisys ,126,Action,2015,6.6
110,The Chronicles of Narnia: The Voyage of the Dawn Treader ,113,Adventure,2010,6.3
111,Pearl Harbor ,184,Action,2001,6.1
112,Transformers ,144,Action,2007,7.1
113,Alexander ,206,Action,2004,5.5
114,Harry Potter and the Order of the Phoenix ,138,Adventure,2007,7.5
115,Harry Potter and the Goblet of Fire ,157,Adventure,2005,7.6
116,Hancock ,102,Action,2008,6.4
117,I Am Legend ,104,Drama,2007,7.2
118,Charlie and the Chocolate Factory ,115,Adventure,2005,6.7
119,Ratatouille ,111,Animation,2007,8
120,Batman Begins ,128,Action,2005,8.3
121,Madagascar: Escape 2 Africa ,89,Action,2008,6.7
122,Night at the Museum: Battle of the Smithsonian ,105,Adventure,2009,5.9
123,X-Men Origins: Wolverine ,119,Action,2009,6.7
124,The Matrix Revolutions ,129,Action,2003,6.7
125,Frozen ,102,Adventure,2013,7.6
126,The Matrix Reloaded ,138,Action,2003,7.2
127,Thor: The Dark World ,112,Action,2013,7.1
128,Mad Max: Fury Road ,120,Action,2015,8.1
129,Angels & Demons ,146,Mystery,2009,6.7
130,Thor ,115,Action,2011,7
131,Bolt ,96,Adventure,2008,6.9
132,G-Force ,88,Action,2009,5.1
133,Wrath of the Titans ,99,Action,2012,5.8
134,Dark Shadows ,113,Comedy,2012,6.2
135,Mission: Impossible - Rogue Nation ,131,Action,2015,7.4
136,The Wolfman ,119,Drama,2010,5.8
137,The Legend of Tarzan ,110,Action,2016,6.6
138,Bee Movie ,91,Adventure,2007,6.2
139,Kung Fu Panda 2 ,90,Action,2011,7.3
140,The Last Airbender ,103,Action,2010,4.2
141,Mission: Impossible III ,124,Action,2006,6.9
142,White House Down ,131,Action,2013,6.4
143,Mars Needs Moms ,88,Action,2011,5.4
144,Flushed Away ,85,Adventure,2006,6.7
145,Pan ,111,Adventure,2015,5.8
146,Mr. Peabody & Sherman ,92,Adventure,2014,6.9
147,Troy ,196,Adventure,2004,7.2
148,Madagascar 3: Europe's Most Wanted ,93,Adventure,2012,6.9
149,Die Another Day ,133,Action,2002,6.1
150,Ghostbusters ,116,Action,2016,5.5
151,Armageddon ,153,Action,1998,6.6
152,Men in Black II ,88,Action,2002,6.1
153,Beowulf ,115,Action,2007,6.3
154,Kung Fu Panda 3 ,95,Action,2016,7.2
155,Mission: Impossible - Ghost Protocol ,133,Action,2011,7.4
156,Rise of the Guardians ,97,Adventure,2012,7.3
157,Fun with Dick and Jane ,90,Comedy,2005,6.1
158,The Last Samurai ,154,Action,2003,7.7
159,Exodus: Gods and Kings ,150,Action,2014,6.1
160,Star Trek ,127,Action,2009,8
161,Spider-Man ,121,Action,2002,7.3
162,How to Train Your Dragon 2 ,102,Action,2014,7.9
163,Gods of Egypt ,126,Action,2016,5.5
164,Stealth ,121,Action,2005,5
165,Watchmen ,215,Action,2009,7.7
166,Lethal Weapon 4 ,127,Action,1998,6.6
167,Hulk ,138,Action,2003,5.7
168,G.I. Joe: Retaliation ,122,Action,2013,5.8
169,Sahara ,124,Action,2005,6
170,Final Fantasy: The Spirits Within ,106,Action,2001,6.4
171,Captain America: The First Avenger ,124,Action,2011,6.9
172,The World Is Not Enough ,128,Action,1999,6.4
173,Master and Commander: The Far Side of the World ,138,Action,2003,7.4
174,The Twilight Saga: Breaking Dawn - Part 2 ,115,Adventure,2012,5.5
175,Happy Feet 2 ,100,Animation,2011,5.9
176,The Incredible Hulk ,135,Action,2008,6.8
177,Miami Vice             ,60,Action,,7.5
178,The BFG ,117,Adventure,2016,6.8
179,The Revenant ,156,Adventure,2015,8.1
180,Turbo ,96,Adventure,2013,6.5
181,Rango ,107,Adventure,2011,7.2
182,Penguins of Madagascar ,92,Adventure,2014,6.7
183,The Bourne Ultimatum ,115,Action,2007,8.1
184,Kung Fu Panda ,92,Action,2008,7.6
185,Ant-Man ,117,Action,2015,7.4
186,The Hunger Games: Catching Fire ,146,Adventure,2013,7.6
187,The Twilight Saga: Breaking Dawn - Part 2 ,115,Adventure,2012,5.5
188,Home ,94,Adventure,2015,6.7
189,War of the Worlds ,116,Adventure,2005,6.5
190,Bad Boys II ,147,Action,2003,6.6
191,Puss in Boots ,90,Action,2011,6.7
192,Salt ,101,Action,2010,6.4
193,Noah ,138,Action,2014,5.8
194,The Adventures of Tintin ,107,Action,2011,7.4
195,Harry Potter and the Prisoner of Azkaban ,142,Adventure,2004,7.8
196,Australia ,165,Adventure,2008,6.6
197,After Earth ,100,Action,2013,4.9
198,Dinosaur ,82,Adventure,2000,6.5
199,Harry Potter and the Deathly Hallows: Part II ,,Action,2011,7.5
200,Night at the Museum: Secret of the Tomb ,98,Adventure,2014,6.2
201,Megamind ,95,Action,2010,7.3
202,Harry Potter and the Sorcerer's Stone ,159,Adventure,2001,7.5
203,R.I.P.D. ,96,Action,2013,5.6
204,Godzilla Resurgence ,120,Action,2016,8.2
205,Pirates of the Caribbean: The Curse of the Black Pearl ,143,Action,2003,8.1
206,Harry Potter and the Deathly Hallows: Part I ,,Fantasy,2010,6.4
207,The Hunger Games: Mockingjay - Part 1 ,123,Adventure,2014,6.7
208,The Da Vinci Code ,174,Mystery,2006,6.6
209,Rio 2 ,101,Adventure,2014,6.4
210,X-Men 2 ,134,Action,2003,7.5
211,Fast Five ,132,Action,2011,7.3
212,Sherlock Holmes: A Game of Shadows ,129,Action,2011,7.5
213,Clash of the Titans ,106,Action,2010,5.8
214,Total Recall ,113,Action,1990,7.5
215,The 13th Warrior ,102,Action,1999,6.6
216,The Bourne Legacy ,135,Action,2012,6.7
217,Batman & Robin ,125,Action,1997,3.7
218,How the Grinch Stole Christmas ,110,Comedy,2000,6
219,The Day After Tomorrow ,124,Action,2004,6.4
220,Mission: Impossible II ,123,Action,2000,6.1
221,The Perfect Storm ,130,Action,2000,6.4
222,Fantastic 4: Rise of the Silver Surfer ,92,Action,2007,5.6
223,Life of Pi ,127,Adventure,2012,8
224,Ghost Rider ,123,Action,2007,5.2
225,Jason Bourne ,123,Action,2016,7.1
226,Charlie's Angels: Full Throttle ,107,Action,2003,4.8
227,Prometheus ,124,Adventure,2012,7
228,Stuart Little 2 ,77,Adventure,2002,5.4
229,Elysium ,109,Action,2013,6.6
230,The Chronicles of Riddick ,134,Action,2004,6.7
231,RoboCop ,117,Action,2014,6.2
232,Speed Racer ,135,Action,2008,6.1
233,How Do You Know ,121,Comedy,2010,5.3
234,Knight and Day ,117,Action,2010,6.3
235,Oblivion ,124,Action,2013,7
236,Star Wars: Episode III - Revenge of the Sith ,140,Action,2005,7.6
237,Star Wars: Episode II - Attack of the Clones ,142,Action,2002,6.7
238,"Monsters, Inc. ",92,Adventure,2001,8.1
239,The Wolverine ,138,Action,2013,6.7
240,Star Wars: Episode I - The Phantom Menace ,136,Action,1999,6.5
241,The Croods ,98,Adventure,2013,7.3
242,Asterix at the Olympic Games ,116,Adventure,2008,5.1
243,Windtalkers ,153,Action,2002,6
244,The Huntsman: Winter's War ,120,Action,2016,6.1
245,Teenage Mutant Ninja Turtles ,101,Action,2014,5.9
246,Gravity ,91,Adventure,2013,7.8
247,Dante's Peak ,108,Action,1997,5.8
248,Teenage Mutant Ninja Turtles: Out of the Shadows ,112,Action,2016,6.3
249,Fantastic Four ,100,Action,2015,4.3
250,Night at the Museum ,108,Action,2006,6.4
251,San Andreas ,114,Action,2015,6.1
252,Tomorrow Never Dies ,119,Action,1997,6.5
253,The Patriot ,142,Action,2000,7.1
254,Ocean's Twelve ,125,Crime,2004,6.4
255,Mr. & Mrs. Smith ,126,Action,2005,6.5
256,Insurgent ,119,Adventure,2015,6.3
257,The Aviator ,170,Biography,2004,7.5
258,Gulliver's Travels ,85,Adventure,2010,4.9
259,The Green Hornet ,119,Action,2011,5.8
260,The A-Team             ,60,Action,,7.6
261,300: Rise of an Empire ,102,Action,2014,6.2
262,The Smurfs ,103,Adventure,2011,5.5
263,Home on the Range ,76,Animation,2004,5.4
264,Allegiant ,120,Action,2016,5.8
265,Real Steel ,127,Action,2011,7.1
266,The Smurfs 2 ,105,Adventure,2013,5.4
267,Speed 2: Cruise Control ,121,Action,1997,3.7
268,Ender's Game ,114,Action,2013,6.7
269,Live Free or Die Hard ,129,Action,2007,7.2
270,The Lord of the Rings: The Fellowship of the Ring ,171,Action,2001,8.8
271,Around the World in 80 Days ,120,Action,2004,5.8
272,Ali ,165,Biography,2001,6.8
273,The Cat in the Hat ,82,Adventure,2003,3.8
274,"I, Robot ",115,Action,2004,7.1
275,Kingdom of Heaven ,194,Action,2005,7.2
276,Stuart Little ,84,Adventure,1999,5.9
277,The Princess and the Frog ,97,Animation,2009,7.1
278,The Martian ,151,Adventure,2015,8.1
279,"10,000 B.C.             ",22,Comedy,,7.2
280,The Island ,136,Action,2005,6.9
281,Town & Country ,104,Comedy,2001,4.4
282,Gone in Sixty Seconds ,127,Action,2000,6.5
283,Gladiator ,171,Action,2000,8.5
284,Minority Report ,145,Action,2002,7.7
285,Harry Potter and the Chamber of Secrets ,174,Adventure,2002,7.4
286,Casino Royale ,144,Action,2006,8
287,Planet of the Apes ,119,Action,2001,5.7
288,Terminator 2: Judgment Day ,153,Action,1991,8.5
289,Public Enemies ,140,Biography,2009,7
290,American Gangster ,176,Biography,2007,7.8
291,True Lies ,141,Action,1994,7.2
292,The Taking of Pelham 1 2 3 ,106,Action,2009,6.4
293,Little Fockers ,98,Comedy,2010,5.5
294,The Other Guys ,116,Action,2010,6.7
295,Eraser ,115,Action,1996,6.1
296,Django Unchained ,165,Drama,2012,8.5
297,The Hunchback of Notre Dame ,91,Animation,1996,6.9
298,The Emperor's New Groove ,78,Adventure,2000,7.3
299,The Expendables 2 ,103,Action,2012,6.7
300,National Treasure ,131,Action,2004,6.9
301,Eragon ,104,Action,2006,5.1
302,Where the Wild Things Are ,101,Adventure,2009,6.8
303,Pan ,111,Adventure,2015,5.8
304,Epic ,102,Adventure,2013,6.7
305,The Tourist ,103,Action,2010,6
306,End of Days ,121,Action,1999,5.7
307,Blood Diamond ,143,Adventure,2006,8
308,The Wolf of Wall Street ,240,Biography,2013,8.2
309,Batman Forever ,121,Action,1995,5.4
310,Starship Troopers ,129,Action,1997,7.2
311,Cloud Atlas ,172,Drama,2012,7.5
312,Legend of the Guardians: The Owls of Ga'Hoole ,101,Action,2010,7
313,Catwoman ,87,Action,2004,3.3
314,Hercules ,101,Action,2014,6
315,Treasure Planet ,95,Adventure,2002,7.1
316,Land of the Lost ,102,Adventure,2009,5.4
317,The Expendables 3 ,131,Action,2014,6.1
318,Point Break ,114,Action,2015,5.3
319,Son of the Mask ,94,Comedy,2005,2.2
320,In the Heart of the Sea ,122,Action,2015,7
321,The Adventures of Pluto Nash ,95,Action,2002,3.8
322,Green Zone ,115,Action,2010,6.9
323,The Peanuts Movie ,88,Adventure,2015,7.2
324,The Spanish Prisoner ,110,Drama,1997,7.3
325,The Mummy Returns ,130,Action,2001,6.3
326,Gangs of New York ,216,Crime,2002,7.5
327,The Flowers of War ,146,Drama,2011,7.6
328,Surf's Up ,85,Animation,2007,6.8
329,The Stepford Wives ,93,Comedy,2004,5.2
330,Black Hawk Down ,152,Drama,2001,7.7
331,The Campaign ,85,Comedy,2012,6.2
332,The Fifth Element ,126,Action,1997,7.7
333,Sex and the City 2 ,146,Comedy,2010,4.3
334,The Road to El Dorado ,89,Adventure,2000,6.9
335,Ice Age: Continental Drift ,88,Adventure,2012,6.6
336,Cinderella ,105,Drama,2015,7
337,The Lovely Bones ,135,Drama,2009,6.7
338,Finding Nemo ,100,Adventure,2003,8.2
339,The Lord of the Rings: The Return of the King ,192,Action,2003,8.9
340,The Lord of the Rings: The Two Towers ,172,Action,2002,8.7
341,Seventh Son ,102,Action,2014,5.5
342,Lara Croft: Tomb Raider ,100,Action,2001,5.7
343,Transcendence ,119,Drama,2014,6.3
344,Jurassic Park III ,92,Action,2001,5.9
345,Rise of the Planet of the Apes ,105,Action,2011,7.6
346,The Spiderwick Chronicles ,107,Adventure,2008,6.6
347,A Good Day to Die Hard ,101,Action,2013,5.3
348,The Alamo ,137,Drama,2004,6
349,The Incredibles ,115,Action,2004,8
350,Cutthroat Island ,124,Action,1995,5.6
351,Percy Jackson & the Olympians: The Lightning Thief ,118,Adventure,2010,5.9
352,Men in Black ,98,Adventure,1997,7.3
353,Toy Story 2 ,82,Adventure,1999,7.9
354,Unstoppable ,98,Action,2010,6.8
355,Rush Hour 2 ,90,Action,2001,6.6
356,What Lies Beneath ,130,Drama,2000,6.6
357,Cloudy with a Chance of Meatballs ,90,Animation,2009,7
358,Ice Age: Dawn of the Dinosaurs ,94,Action,2009,7
359,The Secret Life of Walter Mitty ,114,Adventure,2013,7.3
360,Charlie's Angels ,94,Action,2000,5.5
361,The Departed ,151,Crime,2006,8.5
362,Mulan ,88,Adventure,1998,7.5
363,Tropic Thunder ,121,Action,2008,7
364,The Girl with the Dragon Tattoo ,158,Crime,2011,7.8
365,Die Hard with a Vengeance ,128,Action,1995,7.6
366,Sherlock Holmes ,128,Action,2009,7.6
367,Ben-Hur ,141,Adventure,2016,6.1
368,Atlantis: The Lost Empire ,95,Action,2001,6.8
369,Alvin and the Chipmunks: The Road Chip ,92,Adventure,2015,5
370,Valkyrie ,121,Drama,2008,7.1
371,You Don't Mess with the Zohan ,113,Action,2008,5.5
372,Pixels ,106,Action,2015,5.6
373,A.I. Artificial Intelligence ,146,Adventure,2001,7.1
374,The Haunted Mansion ,88,Comedy,2003,4.9
375,Contact ,150,Drama,1997,7.4
376,Hollow Man ,119,Action,2000,5.7
377,The Interpreter ,128,Crime,2005,6.4
378,Percy Jackson: Sea of Monsters ,106,Adventure,2013,5.9
379,Lara Croft Tomb Raider: The Cradle of Life ,117,Action,2003,5.5
380,Now You See Me 2 ,129,Action,2016,6.9
381,The Saint ,116,Action,1997,6.2
382,Spy Game ,114,Action,2001,7
383,Mission to Mars ,114,Adventure,2000,5.6
384,Rio ,96,Adventure,2011,7
385,Bicentennial Man ,132,Comedy,1999,6.8
386,Volcano ,104,Action,1997,5.4
387,The Devil's Own ,111,Action,1997,6.1
388,K-19: The Widowmaker ,138,Drama,2002,6.7
389,Fantastic Four ,100,Action,2015,4.3
390,Conan the Barbarian ,129,Adventure,1982,6.9
391,Cinderella Man ,144,Biography,2005,8
392,The Nutcracker in 3D ,110,Action,2010,4.4
393,Seabiscuit ,140,Drama,2003,7.3
394,Twister ,113,Action,1996,6.3
395,The Fast and the Furious ,106,Action,2001,6.7
396,Cast Away ,143,Adventure,2000,7.7
397,Happy Feet ,108,Animation,2006,6.5
398,The Bourne Supremacy ,108,Action,2004,7.8
399,Air Force One ,124,Action,1997,6.4
400,Ocean's Eleven ,116,Crime,2001,7.8
401,The Three Musketeers ,110,Action,2011,5.8
402,Hotel Transylvania ,91,Animation,2012,7.1
403,Enchanted ,107,Animation,2007,7.1
404,Hannibal             ,44,Crime,,8.6
405,Safe House ,115,Action,2012,6.8
406,102 Dalmatians ,100,Adventure,2000,4.8
407,Tower Heist ,104,Action,2011,6.2
408,The Holiday ,138,Comedy,2006,6.9
409,Enemy of the State ,140,Action,1998,7.3
410,It's Complicated ,120,Comedy,2009,6.6
411,Ocean's Thirteen ,122,Crime,2007,6.9
412,Open Season ,83,Adventure,2006,6.2
413,Divergent ,139,Adventure,2014,6.7
414,Enemy at the Gates ,131,Drama,2001,7.6
415,The Rundown ,104,Action,2003,6.7
416,Last Action Hero ,130,Action,1993,6.2
417,Memoirs of a Geisha ,145,Drama,2005,7.3
418,The Fast and the Furious: Tokyo Drift ,104,Action,2006,6
419,Arthur Christmas ,97,Adventure,2011,7.1
420,Meet Joe Black ,178,Drama,1998,7.1
421,Collateral Damage ,108,Action,2002,5.5
422,All That Jazz ,123,Comedy,1979,7.8
423,Mirror Mirror ,106,Adventure,2012,5.6
424,Scott Pilgrim vs. the World ,112,Action,2010,7.5
425,The Core ,135,Action,2003,5.4
426,Nutty Professor II: The Klumps ,109,Comedy,2000,4.3
427,Scooby-Doo ,86,Adventure,2002,4.9
428,Dredd ,95,Action,2012,7.1
429,Click ,107,Comedy,2006,6.4
430,Creepshow ,130,Comedy,1982,6.9
431,Cats & Dogs: The Revenge of Kitty Galore ,82,Action,2010,4.3
432,Jumper ,88,Action,2008,6.1
433,Hellboy II: The Golden Army ,120,Action,2008,7
434,Zodiac ,162,Crime,2007,7.7
435,The 6th Day ,123,Action,2000,5.9
436,Bruce Almighty ,101,Comedy,2003,6.7
437,The Expendables ,113,Action,2010,6.5
438,Mission: Impossible ,110,Action,1996,7.1
439,The Hunger Games ,142,Adventure,2012,7.3
440,The Hangover Part II ,102,Comedy,2011,6.5
441,Batman Returns ,126,Action,1992,7
442,Over the Hedge ,83,Adventure,2006,6.8
443,Lilo & Stitch ,85,Adventure,2002,7.2
444,Charlotte's Web ,97,Comedy,2006,6.4
445,Deep Impact ,120,Action,1998,6.1
446,RED 2 ,116,Action,2013,6.7
447,The Longest Yard ,113,Comedy,2005,6.4
448,Alvin and the Chipmunks: Chipwrecked ,87,Adventure,2011,4.4
449,Grown Ups 2 ,101,Comedy,2013,5.4
450,Get Smart ,110,Action,2008,6.5
451,Something's Gotta Give ,128,Comedy,2003,6.7
452,Shutter Island ,138,Mystery,2010,8.1
453,Four Christmases ,88,Comedy,2008,5.6
454,Robots ,91,Adventure,2005,6.3
455,Face/Off ,138,Action,1997,7.3
456,Bedtime Stories ,99,Comedy,2008,6.1
457,Road to Perdition ,117,Crime,2002,7.7
458,Just Go with It ,117,Comedy,2011,6.4
459,Daredevil             ,54,Action,,8.8
460,Con Air ,123,Action,1997,6.8
461,Eagle Eye ,118,Action,2008,6.6
462,Cold Mountain ,154,Adventure,2003,7.2
463,The Book of Eli ,118,Action,2010,6.9
464,Flubber ,90,Comedy,1997,5.2
465,The Haunting ,113,Fantasy,1999,4.9
466,Space Jam ,88,Adventure,1996,6.3
467,The Pink Panther ,93,Adventure,2006,5.6
468,The Day the Earth Stood Still ,104,Drama,2008,5.5
469,Conspiracy Theory ,135,Action,1997,6.7
470,Fury ,134,Action,2014,7.6
471,Six Days Seven Nights ,98,Action,1998,5.7
472,Yogi Bear ,80,Adventure,2010,4.6
473,Spirit: Stallion of the Cimarron ,83,Adventure,2002,7
474,Zookeeper ,102,Comedy,2011,5.2
475,Lost in Space ,130,Action,1998,5.1
476,The Manchurian Candidate ,129,Drama,2004,6.6
477,Déjà Vu ,117,Drama,1997,7
478,Hotel Transylvania 2 ,89,Animation,2015,6.7
479,Bewitched             ,25,Comedy,,7.6
480,Fantasia 2000 ,74,Animation,1999,7.3
481,The Time Machine ,96,Action,2002,5.9
482,Mighty Joe Young ,114,Action,1998,5.6
483,Swordfish ,99,Action,2001,6.5
484,The Legend of Zorro ,129,Action,2005,5.9
485,What Dreams May Come ,113,Drama,1998,7
486,Little Nicky ,90,Comedy,2000,5.3
487,The Brothers Grimm ,118,Action,2005,5.9
488,Mars Attacks! ,106,Action,1996,6.3
489,Evolution ,81,Drama,2015,6.4
490,The Edge ,117,Action,1997,6.9
491,Surrogates ,89,Action,2009,6.3
492,Thirteen Days ,145,Drama,2000,7.3
493,Daylight ,114,Action,1996,5.8
494,Walking with Dinosaurs 3D ,87,Adventure,2013,5.2
495,Battlefield Earth ,119,Action,2000,2.4
496,Looney Tunes: Back in Action ,91,Adventure,2003,5.7
497,Nine ,118,Drama,2009,5.8
498,Timeline ,116,Action,2003,5.6
499,The Postman ,177,Action,1997,6
500,Babe: Pig in the City ,97,Adventure,1998,5.8
501,The Last Witch Hunter ,106,Action,2015,6
502,Red Planet ,106,Action,2000,5.7
503,Arthur and the Invisibles ,94,Adventure,2006,6
504,Oceans ,104,Documentary,2009,7.8
505,A Sound of Thunder ,102,Action,2005,4.2
506,Pompeii ,105,Action,2014,5.6
507,Top Cat Begins ,89,Animation,2015,4.4
508,A Beautiful Mind ,135,Biography,2001,8.2
509,The Lion King ,73,Adventure,1994,8.5
510,Journey 2: The Mysterious Island ,94,Action,2012,5.8
511,Cloudy with a Chance of Meatballs 2 ,95,Animation,2013,6.5
512,Red Dragon ,124,Crime,2002,7.2
513,Hidalgo ,136,Action,2004,6.7
514,Jack and Jill ,91,Comedy,2011,3.4
515,2 Fast 2 Furious ,107,Action,2003,5.9
516,The Little Prince ,108,Adventure,2015,7.8
517,The Invasion ,99,Sci-Fi,2007,5.9
518,The Adventures of Rocky & Bullwinkle ,92,Adventure,2000,4.1
519,The Secret Life of Pets ,87,Animation,2016,6.8
520,The League of Extraordinary Gentlemen ,110,Action,2003,5.8
521,Despicable Me 2 ,98,Animation,2013,7.5
522,Independence Day ,154,Action,1996,6.9
523,The Lost World: Jurassic Park ,129,Action,1997,6.5
524,Madagascar ,86,Adventure,2005,6.9
525,Children of Men ,109,Drama,2006,7.9
526,X-Men ,104,Action,2000,7.4
527,Wanted ,110,Action,2008,6.7
528,The Rock ,136,Action,1996,7.4
529,Ice Age: The Meltdown ,115,Action,2006,6.9
530,50 First Dates ,99,Comedy,2004,6.8
531,Hairspray ,117,Comedy,2007,6.7
532,Exorcist: The Beginning ,125,Horror,2004,5.1
533,Inspector Gadget ,110,Action,1999,4.1
534,Now You See Me ,125,Crime,2013,7.3
535,Grown Ups ,102,Comedy,2010,6
536,The Terminal ,128,Comedy,2004,7.3
537,Constantine             ,43,Drama,,7.5
538,Hotel for Dogs ,100,Comedy,2009,5.4
539,Vertical Limit ,124,Action,2000,5.9
540,Charlie Wilson's War ,102,Biography,2007,7.1
541,Shark Tale ,90,Adventure,2004,6
542,Dreamgirls ,130,Drama,2006,6.5
543,Life             ,45,Crime,,8.3
544,Be Cool ,118,Comedy,2005,5.7
545,Munich ,163,Drama,2005,7.6
546,Tears of the Sun ,142,Action,2003,6.6
547,Killers ,100,Action,2010,5.4
548,The Man from U.N.C.L.E. ,116,Action,2015,7.3
549,Spanglish ,131,Comedy,2004,6.5
550,Monster House ,91,Animation,2006,6.6
551,Bandits ,123,Comedy,2001,6.6
552,First Knight ,134,Action,1995,5.9
553,Anna and the King ,148,Drama,1999,6.7
